"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Anser caerulescens",61.8,36,19.4,24.7,76.7,411.8,214.5,194.2,52.5,123.5,19.4,0,0,0,0,0,0,0,0,10,90,0,20,80,0,0,0,0,0,0
"Chondestes grammacus",15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,30,0,0,0,0,0,0,0,70,0,0,0,80,10,10,0,0,0,0
"Chroicocephalus philadelphia",35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,50,0,0,50,50,0,0,0,0,0,40,50,10,0,0,0,0,0,0
"Cinclus mexicanus",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,80,0,10,10,0,0,0,0,0,0,40,40,20,0,0,0,0,0,0
"Circus hudsonius",30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,10,70,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0
"Cistothorus palustris",16,9.9,2.7,3.4,19.2,48.4,9.7,38.7,20,39.5,10.8,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"Cistothorus stellaris",14.9,7.7,2.3,2.9,20.3,45.7,6.1,39.6,13.4,47.2,9,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"Clangula hyemalis",32.1,19.2,16,11.9,33.1,215.6,108.5,105,50.9,130.8,871,80,0,0,0,0,0,10,0,0,10,100,0,0,0,0,0,0,0,0
"Coccothraustes vespertinus",22.7,16,10.5,14.5,21.4,109.8,37.6,72.4,34.2,67.2,57.3,10,0,0,0,0,0,20,0,40,30,0,0,0,50,50,0,0,0,0
"Colaptes auratus",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,70,0,0,0,0,0,20,0,10,0,0,0,100,0,0,0,0,0,0
